Algoritmo,Objetivo,Tempo de processamento
Busca em Profundidade com m = 10,1,6
Busca em Profundidade com m = 10,2,7
Busca em Profundidade com m = 10,3,4
Busca em Profundidade com m = 10,4,7
Busca em Profundidade com m = 10,5,5
Busca em Profundidade com m = 10,6,9
Busca em Profundidade com m = 10,7,8
Busca em Profundidade com m = 10,8,11
Busca em Profundidade com m = 10,9,10
Busca em Profundidade com m = 10,10,12
Busca em Profundidade com m = 10,11,12
Busca em Profundidade com m = 10,12,14
Busca em Profundidade com m = 10,13,14
Busca em Profundidade com m = 10,14,17
Busca em Profundidade com m = 10,15,15
Busca em Profundidade com m = 10,16,19
Busca em Profundidade com m = 10,17,18
Busca em Profundidade com m = 10,18,20
Busca em Profundidade com m = 10,19,20
Busca em Profundidade com m = 10,20,22
Busca em Profundidade com m = 10,21,21
Busca em Profundidade com m = 10,22,Sem resultado
Busca em Profundidade com m = 10,23,Sem resultado
Busca em Profundidade com m = 10,24,Sem resultado
Busca em Profundidade com m = 10,25,Sem resultado
Busca em Profundidade com m = 10,26,Sem resultado
Busca em Profundidade com m = 10,27,Sem resultado
Busca em Profundidade com m = 10,28,Sem resultado
Busca em Profundidade com m = 10,29,Sem resultado
Busca em Profundidade com m = 10,30,Sem resultado
Busca em Profundidade com m = 10,31,Sem resultado
Busca em Profundidade com m = 10,32,Sem resultado
Busca em Profundidade com m = 10,33,Sem resultado
Busca em Profundidade com m = 10,34,Sem resultado
Busca em Profundidade com m = 10,35,Sem resultado
Busca em Profundidade com m = 10,36,Sem resultado
Busca em Profundidade com m = 10,37,Sem resultado
Busca em Profundidade com m = 10,38,Sem resultado
Busca em Profundidade com m = 10,39,Sem resultado
Busca em Profundidade com m = 10,40,Sem resultado
Busca em Profundidade com m = 10,41,Sem resultado
Busca em Profundidade com m = 10,42,Sem resultado
Busca em Profundidade com m = 10,43,Sem resultado
Busca em Profundidade com m = 10,44,Sem resultado
Busca em Profundidade com m = 10,45,Sem resultado
Busca em Profundidade com m = 10,46,Sem resultado
Busca em Profundidade com m = 10,47,Sem resultado
Busca em Profundidade com m = 10,48,Sem resultado
Busca em Profundidade com m = 10,49,Sem resultado
Busca em Profundidade com m = 10,50,Sem resultado
Busca em Profundidade com m = 100,1,1
Busca em Profundidade com m = 100,2,3
Busca em Profundidade com m = 100,3,3
Busca em Profundidade com m = 100,4,5
Busca em Profundidade com m = 100,5,4
Busca em Profundidade com m = 100,6,6
Busca em Profundidade com m = 100,7,5
Busca em Profundidade com m = 100,8,8
Busca em Profundidade com m = 100,9,8
Busca em Profundidade com m = 100,10,10
Busca em Profundidade com m = 100,11,9
Busca em Profundidade com m = 100,12,11
Busca em Profundidade com m = 100,13,10
Busca em Profundidade com m = 100,14,12
Busca em Profundidade com m = 100,15,11
Busca em Profundidade com m = 100,16,14
Busca em Profundidade com m = 100,17,14
Busca em Profundidade com m = 100,18,16
Busca em Profundidade com m = 100,19,15
Busca em Profundidade com m = 100,20,17
Busca em Profundidade com m = 100,21,17
Busca em Profundidade com m = 100,22,18
Busca em Profundidade com m = 100,23,18
Busca em Profundidade com m = 100,24,20
Busca em Profundidade com m = 100,25,19
Busca em Profundidade com m = 100,26,21
Busca em Profundidade com m = 100,27,20
Busca em Profundidade com m = 100,28,23
Busca em Profundidade com m = 100,29,22
Busca em Profundidade com m = 100,30,24
Busca em Profundidade com m = 100,31,25
Busca em Profundidade com m = 100,32,44
Busca em Profundidade com m = 100,33,27
Busca em Profundidade com m = 100,34,29
Busca em Profundidade com m = 100,35,27
Busca em Profundidade com m = 100,36,29
Busca em Profundidade com m = 100,37,28
Busca em Profundidade com m = 100,38,127
Busca em Profundidade com m = 100,39,30
Busca em Profundidade com m = 100,40,32
Busca em Profundidade com m = 100,41,32
Busca em Profundidade com m = 100,42,34
Busca em Profundidade com m = 100,43,33
Busca em Profundidade com m = 100,44,36
Busca em Profundidade com m = 100,45,35
Busca em Profundidade com m = 100,46,37
Busca em Profundidade com m = 100,47,36
Busca em Profundidade com m = 100,48,43
Busca em Profundidade com m = 100,49,37
Busca em Profundidade com m = 100,50,40
